date,TCMNOM_Y1,TCMNOM_Y5
19730101,,
19730102,5.72,6.29
19730103,5.69,6.26
19730104,5.67,6.23
19730105,5.7,6.27
19730108,5.74,6.3
19730109,5.74,6.3
19730110,5.76,6.31
19730111,5.79,6.31
19730112,5.87,6.33
19730115,5.87,6.31
19730116,5.89,6.32
19730117,5.88,6.3
19730118,5.89,6.32
19730119,5.93,6.36
19730122,5.94,6.38
19730123,5.95,6.35
19730124,6.02,6.39
19730125,6.04,6.41
19730126,6.19,6.44
19730129,6.16,6.44
19730130,6.08,6.44
19730131,6.09,6.45
19730201,6.2,6.56
19730202,6.23,6.58
19730205,6.22,6.58
19730206,6.23,6.58
19730207,6.18,6.57
19730208,6.12,6.55
19730209,6.06,6.51
19730212,,
19730213,6.08,6.54
19730214,6.05,6.54
19730215,6,6.53
19730216,6.01,6.55
19730219,,
19730220,6.13,6.65
19730221,6.21,6.65
19730222,6.21,6.64
19730223,6.23,6.6
19730226,6.38,6.72
19730227,6.43,6.72
19730228,6.43,6.73
19730301,6.43,6.72
19730302,6.47,6.77
19730305,6.52,6.79
19730306,6.63,6.83
19730307,6.63,6.8
19730308,6.66,6.83
19730309,6.74,6.83
19730312,6.77,6.84
19730313,6.8,6.81
19730314,6.85,6.82
19730315,6.93,6.85
19730316,7.13,6.92
19730319,7.06,6.85
19730320,7.02,6.85
19730321,7.02,6.83
19730322,7.03,6.84
19730323,7.01,6.84
19730326,6.98,6.76
19730327,6.96,6.74
19730328,6.98,6.69
19730329,6.99,6.68
19730330,7.09,6.81
19730402,7.09,6.81
19730403,7.07,6.77
19730404,7.03,6.71
19730405,7,6.7
19730406,6.87,6.59
19730409,6.77,6.55
19730410,6.79,6.58
19730411,6.85,6.63
19730412,6.86,6.64
19730413,6.81,6.55
19730416,6.77,6.57
19730417,6.77,6.66
19730418,6.74,6.67
19730419,6.77,6.71
19730420,,
19730423,6.82,6.76
19730424,6.79,6.73
19730425,6.8,6.72
19730426,6.76,6.67
19730427,6.77,6.7
19730430,6.8,6.73
19730501,6.83,6.77
19730502,6.83,6.78
19730503,6.84,6.8
19730504,6.83,6.83
19730507,6.83,6.83
19730508,6.81,6.8
19730509,6.74,6.78
19730510,6.72,6.77
19730511,6.76,6.81
19730514,6.75,6.8
19730515,6.71,6.78
19730516,6.7,6.76
19730517,6.85,6.81
19730518,6.91,6.83
